algorithm,Mode,interation,time,cost
AcGD,fixed,0,4.6253204345703125e-05,27928151800.229256
AcGD,fixed,50,0.0015282630920410156,3061304855.4406037
AcGD,fixed,100,0.0028285980224609375,2469178427.446486
AcGD,fixed,150,0.0042421817779541016,2418125794.08632
AcGD,fixed,200,0.0059583187103271484,2416248193.6523666
AcGD,fixed,250,0.007200002670288086,2410196015.203265
AcGD,fixed,300,0.008451461791992188,2410883893.233228
AcGD,fixed,350,0.00996851921081543,2409084260.9428673
AcGD,fixed,400,0.01114344596862793,2409659326.259985
AcGD,fixed,450,0.013814210891723633,2409012879.6566777
AcGD,fixed,500,0.014102458953857422,2408992239.9156823
AcGD,fixed,550,0.015256404876708984,2409062718.638895
AcGD,fixed,600,0.013280153274536133,2408830770.5822926
AcGD,fixed,650,0.01116490364074707,2408939929.623013
AcGD,fixed,700,0.012221574783325195,2408827899.318878
AcGD,fixed,750,0.012848615646362305,2408865646.155236
AcGD,fixed,800,0.014027833938598633,2408807534.13416
AcGD,fixed,850,0.014562606811523438,2408847301.1872087
AcGD,fixed,900,0.015761613845825195,2408795956.873327
AcGD,fixed,950,0.016291379928588867,2408809939.6650543
AcGD,linesearch,0,3.0279159545898438e-05,27928151800.229256
AcGD,linesearch,50,0.0023772716522216797,2414172710.8220387
AcGD,linesearch,100,0.004611015319824219,2409566206.614996
AcGD,linesearch,150,0.006825685501098633,2408789292.293351
AcGD,linesearch,200,0.009047508239746094,2408843286.243149
AcGD,linesearch,250,0.011219024658203125,2408793816.641507
AcGD,linesearch,300,0.013589620590209961,2408790339.567837
AcGD,linesearch,350,0.016366243362426758,2408786472.6572604
AcGD,linesearch,400,0.018891334533691406,2408783481.9568496
AcGD,linesearch,450,0.02064347267150879,2408782965.638566
AcGD,linesearch,500,0.04913616180419922,2408781599.576698
AcGD,linesearch,550,0.02487325668334961,2408781483.2167096
AcGD,linesearch,600,0.027102231979370117,2408781345.2968373
AcGD,linesearch,650,0.03268074989318848,2408781212.157957
AcGD,linesearch,700,0.03155851364135742,2408781186.293669
AcGD,linesearch,750,0.03322577476501465,2408781192.3259068
AcGD,linesearch,800,0.036815643310546875,2408781208.1658263
AcGD,linesearch,850,0.0405573844909668,2408781183.4819336
AcGD,linesearch,900,0.047110795974731445,2408781177.7024174
AcGD,linesearch,950,0.051055192947387695,2408781183.524834
