algorithm,Mode,interation,time,cost
GD,fixed,0,7.152557373046875e-05,27928151800.229256
GD,fixed,50,0.00128936767578125,25537691803.42309
GD,fixed,100,0.0019898414611816406,23378544976.88287
GD,fixed,150,0.003187894821166992,21427842978.58524
GD,fixed,200,0.0039048194885253906,19665099565.34824
GD,fixed,250,0.004813194274902344,18071926080.856907
GD,fixed,300,0.005837440490722656,16631791686.361832
GD,fixed,350,0.006684064865112305,15329818487.158733
GD,fixed,400,0.007883310317993164,14152604435.805395
GD,fixed,450,0.008778572082519531,13088068784.925295
GD,fixed,500,0.01016545295715332,12125316183.726696
GD,fixed,550,0.010641098022460938,11254516443.202944
GD,fixed,600,0.011662960052490234,10466797657.80691
GD,fixed,650,0.012464761734008789,9754150849.494064
GD,fixed,700,0.01189565658569336,9109344650.135088
GD,fixed,750,0.009229660034179688,8525848799.1209345
GD,fixed,800,0.009656429290771484,7997765430.999304
GD,fixed,850,0.020287752151489258,7519767281.356139
GD,fixed,900,0.010940790176391602,7087042060.401333
GD,fixed,950,0.011454582214355469,6695242341.496155
GD,linesearch,0,3.337860107421875e-05,27928151800.229256
GD,linesearch,50,0.002179861068725586,2427245629.8968744
GD,linesearch,100,0.0037190914154052734,2410042042.35481
GD,linesearch,150,0.005733966827392578,2408971167.4588404
GD,linesearch,200,0.007246732711791992,2408828226.724394
GD,linesearch,250,0.009171724319458008,2408795850.3185334
GD,linesearch,300,0.010907888412475586,2408786124.4161406
GD,linesearch,350,0.012604951858520508,2408782877.8624296
GD,linesearch,400,0.014280557632446289,2408781759.114973
GD,linesearch,450,0.019014596939086914,2408781370.1658945
GD,linesearch,500,0.026726722717285156,2408781234.6153216
GD,linesearch,550,0.020552396774291992,2408781187.344492
GD,linesearch,600,0.042357683181762695,2408781170.856752
GD,linesearch,650,0.052176713943481445,2408781165.105662
GD,linesearch,700,0.025257110595703125,2408781163.0995865
GD,linesearch,750,0.028058767318725586,2408781162.399838
GD,linesearch,800,0.0683133602142334,2408781162.1557655
GD,linesearch,850,0.03053426742553711,2408781162.0706267
GD,linesearch,900,0.03832697868347168,2408781162.0409174
GD,linesearch,950,0.03575873374938965,2408781162.030561
